time,unprocessed_text,processed_text,uri_post,username,label,score
Sun Jun 09 01:41:45 +0000 2024,gue masih apply 15/22 lowongan magang di msib ️️️ sdgkan ama prodi tgl 7 terakhir dan dari msib sendiri tgl 10 ️️️,gue apply 1522 lowong magang msib sdgkan ama prodi tgl 7 msib tgl 10,https://x.com/imwithryu/status/1799617851051143372,imwithryu,NEUTRAL,0.9996834993362427
Sun Jun 09 00:48:30 +0000 2024,boleh ga si daftar magang msib + studi independen? yg tau ttg ini plis jawaaab ak mau tanya2 (hopeless magang era),ga si daftar magang msib studi independen yg tau ttg plis jawaaab ak tanya2 hopeless magang era,https://x.com/kwepies/status/1799604448991568248,kwepies,NEUTRAL,0.999687910079956
Sun Jun 09 00:43:12 +0000 2024,jasa bikin CV dalam Bahaa Inggris untuk magang MSIB bisa ga? tolong yang udah ahilnya yaa #zonauang,jasa bikin cv bahaa inggris magang msib ga tolong udah ahilnya yaa zonauang,https://x.com/janstudie/status/1799603114921898317,janstudie,NEUTRAL,0.999458372592926
Sun Jun 09 00:25:00 +0000 2024,apa gw magang di warung mama zhafran aja ya? Mama zhafran gamau jadi mitra MSIB kah,gw magang warung mama zhafran aja ya mama zhafran gamau mitra msib kah,https://x.com/ochinzill/status/1799598537359212578,ochinzill,NEUTRAL,0.9990882873535156
Sat Jun 08 23:58:26 +0000 2024,@jeannatth kak magang selain msib dimana ya,jeannatth kak magang msib mana ya,https://x.com/moongia1/status/1799591851303010409,moongia1,NEGATIVE,0.975739598274231
Sat Jun 08 23:07:41 +0000 2024,temen-temen kalo ada yang mau direview CVnya buat msib boleh yaaa^^ aku lolos SI sama magang dan akhirnya ambil magang~~ ohiya sekarang ini baru bisa CV indo dulu yaaa wa on bio,tementemen kalo direview cvnya msib yaaa lolos si magang ambil magang ohiya cv indo yaaa wa on bio,https://x.com/jeannatth/status/1799579079475347802,jeannatth,NEUTRAL,0.9996522665023804
Sat Jun 08 21:51:11 +0000 2024,boleh ga sih udh daftar magang msib trs daftar stupen juga diwaktu yg sama?,ga sih udh daftar magang msib trs daftar stupen waktu yg,https://x.com/narayeps/status/1799559828203085906,narayeps,NEGATIVE,0.999358594417572
Sat Jun 08 20:45:09 +0000 2024,@textfor_ Lolos magang MSIB batch 7,textfor lolos magang msib batch 7,https://x.com/justtformeeee/status/1799543207124246555,justtformeeee,NEUTRAL,0.9996911287307739
Sat Jun 08 20:06:45 +0000 2024,@dailymtww kalo msib magang kerja di perusahaan. kalo stupen kaya training suatu topik atau kerjaan gt dr perusahaan juga tp dia kaya bootcamp gt sistem nya sama kaya kuliah dapet materi + tugas. trs 2 2 nya bisa konversi sks asal sesuai prodi kamuu,dailymtww kalo msib magang kerja usaha kalo stupen kaya training topik kerja gt dr usaha tp kaya bootcamp gt sistem nya kaya kuliah dapet materi tugas trs 2 2 nya konversi sks sesuai prodi kamuu,https://x.com/onextdoor/status/1799533544613806107,onextdoor,POSITIVE,0.9659255146980286
Sat Jun 08 19:26:42 +0000 2024,@KucengTerbanggg DILANCARIN MAGANG MSIB NYA amin,kucengterbanggg dilancarin magang msib nya amin,https://x.com/minichip0/status/1799523466724737428,minichip0,POSITIVE,0.9973956346511841
Sat Jun 08 19:09:35 +0000 2024,Semoga keterima magang di msib. AAMIIN YA ALLAH,moga terima magang msib aamiin ya allah,https://x.com/allbyza/status/1799519160139137156,allbyza,NEUTRAL,0.9995837807655334
Sat Jun 08 18:25:22 +0000 2024,YaAllah semoga jadi rezeki hamba buat bisa ikut magang lagi di MSIB 7 ini di perusahaan impian hamba yaAllah aamiin,yaallah moga rezeki hamba magang msib 7 usaha impi hamba yaallah aamiin,https://x.com/notyourvvip/status/1799508030331261021,notyourvvip,POSITIVE,0.9186410903930664
Sat Jun 08 18:18:00 +0000 2024,it is what it is gpp ga magang msib tp penyesalan krn ga didaftarin tuh kesempatan 22 kuota bakal selamanya mengantui,it is what it is gpp ga magang msib tp sesal krn ga didaftarin tuh sempat 22 kuota mengantui,https://x.com/hisbrunella/status/1799506177879134405,hisbrunella,NEGATIVE,0.6178096532821655
Sat Jun 08 18:12:14 +0000 2024,udh dftar studpen akhirnya magang msib flop ah servernya ga konsisten masa tutup tgl 10 tp ini pd udh tutup,udh dftar studpen magang msib flop ah servernya ga konsisten tutup tgl 10 tp pd udh tutup,https://x.com/hisbrunella/status/1799504727295893718,hisbrunella,NEUTRAL,0.9657303690910339
Sat Jun 08 17:16:35 +0000 2024,Temen-temen siapapun yang lihat ini doain ya aku bisa keterima magang msib batch 7 di suatu perusahaan di batam. Aamiin MAKASI GUYS,tementemen lihat doain ya terima magang msib batch 7 usaha batam aamiin makas guys,https://x.com/97EONz/status/1799490719226397043,97EONz,NEUTRAL,0.999691367149353
Sat Jun 08 16:31:42 +0000 2024,Web MSIB CEPETAN DONG!!?? Takut gakebagian magang ,web msib cepetan takut gakebagian magang,https://x.com/iamatheshadow/status/1799479425626698044,iamatheshadow,NEGATIVE,0.9998477697372437
Sat Jun 08 16:24:36 +0000 2024,liat daftar magang msib ngisi linkedin sendiri liat cv ngerasa ga pede tp kata abangku cv ku dah oke tp semoga dri 22 perusahaan ada yg nyantol setidaknya 1 aja plis ,liat daftar magang msib ngisi linkedin liat cv ngerasa ga pede tp abang cv ku dah oke tp moga dri 22 usaha yg nyantol 1 aja plis,https://x.com/eternityism/status/1799477640631554136,eternityism,NEGATIVE,0.9943623542785645
Sat Jun 08 15:23:37 +0000 2024,Enaknya gwejh magang msib dmn yh?,enak gwejh magang msib dmn yh,https://x.com/perk3del/status/1799462290347249759,perk3del,NEUTRAL,0.9961715340614319
Sat Jun 08 15:11:26 +0000 2024,orang lolos magang msib batch 7,orang lolos magang msib batch 7,https://x.com/jzskiewalker/status/1799459224973717621,jzskiewalker,NEUTRAL,0.9996365308761597
Sat Jun 08 14:45:58 +0000 2024,temen ku asli linjur kuliah jurusan bisnis digital tapi daftar magang msib bagian hukum sama psikologi ,temen ku asli linjur kuliah jurus bisnis digital daftar magang msib hukum psikologi,https://x.com/wonuppi/status/1799452817280868745,wonuppi,NEUTRAL,0.9997064471244812
Sat Jun 08 14:18:25 +0000 2024,bangga dikit soalnya hari ini udah angsur laporan akhir msib laporan magang ke kampus plus flowchart walaupun baru dikit WKWKWKWKW,bangga dikit udah angsur lapor msib lapor magang kampus plus flowchart dikit wkwkwkwkw,https://x.com/chenlecentrics/status/1799445882745811113,chenlecentrics,NEUTRAL,0.9995952248573303
Sat Jun 08 14:15:27 +0000 2024,sedih mulu tiba tiba keterima magang msib astra inimah litereli nangis mulu kepikiran,sedih mulu terima magang msib astra inimah litereli nang mulu pikir,https://x.com/mychuulatte/status/1799445136562335998,mychuulatte,NEGATIVE,0.9998414516448975
Sat Jun 08 13:35:40 +0000 2024,ada yg batch kmrin lolos msib? rep donggg #msib #magang,yg batch kmrin lolos msib rep donggg msib magang,https://x.com/tar0mlk_/status/1799435125484351976,tar0mlk_,NEUTRAL,0.997031569480896
Sat Jun 08 13:21:50 +0000 2024,Udahlah gua udah muak sama msib msib ini. Kalo pun gak bisa juga insha allah magang mandiri bakalan keterima,udahlah gua udah muak msib msib kalo gak insha allah magang mandiri terima,https://x.com/aqilzaidan20/status/1799431643884859784,aqilzaidan20,NEGATIVE,0.9998121857643127
Sat Jun 08 12:29:51 +0000 2024,Mksdnya apa ya bjir?? Abang ane ngehe bngt loh.. btw iya nih info magang dong guys selain msib buat backup https://t.co/psMtN3mdZ9,mksdnya ya bjir abang ane ngehe bngt loh btw iya nih info magang guys msib backup httpstcopsmtn3mdz9,https://x.com/starxxyou/status/1799418562500812859,starxxyou,NEUTRAL,0.9995126724243164
Sat Jun 08 11:57:53 +0000 2024,@linchievz Semoga kakak diterima magang msib batch 7 yaa terima kasih banyak kakak &amp; sehat selalu ,linchievz moga kakak terima magang msib batch 7 yaa terima kasih kakak amp sehat,https://x.com/studyneii/status/1799410516617838848,studyneii,NEUTRAL,0.9997161030769348
Sat Jun 08 11:31:56 +0000 2024,bisa ga Tuhan kado ultah juli ketrima magang msib *,ga tuhan kado ultah juli ketrima magang msib,https://x.com/blueemoonds/status/1799403989186048063,blueemoonds,NEUTRAL,0.9988088607788086
Sat Jun 08 11:08:41 +0000 2024,Haii #BrayatAgung LLDIKTI6! Yuk bergabung di Magang MSIB Batch 7 LLDIKTI6! Pastikan kamu cek detail dan prosesnya disini: https://t.co/1u1hkE5fIc atau kunjungi akun IG resmi @magangmerdeka #merdekabelajar #kampusmerdeka #MBKM2024 https://t.co/q4mIHoOfI8,hai brayatagung lldikti6 yuk gabung magang msib batch 7 lldikti6 pasti cek detail proses httpstco1u1hke5fic kunjung akun ig resmi magangmerdeka merdekabelajar kampusmerdeka mbkm2024 httpstcoq4mihoofi8,https://x.com/lldikti6/status/1799398135435030618,lldikti6,NEUTRAL,0.9996533393859863
Sat Jun 08 11:06:33 +0000 2024,Klo gw keterima msib gw potong rambut sebahu. Susah bgt ya Allah cari magang,klo gw terima msib gw potong rambut bahu susah bgt ya allah cari magang,https://x.com/MarthaDest52795/status/1799397597586874393,MarthaDest52795,NEGATIVE,0.9995625615119934
Sat Jun 08 10:54:39 +0000 2024,@dohoonemo Tdinya mau ngambil msib jg aku... tpi mendingan aku ngambil jalan biasa aja soalnya klo misalnya msib ga dpt setidaknya bisa magang biasa tpi ternyata ga sempet timelinenya jdi aku pilih biasa aja....,dohoonemo tdinya ngambil msib jg tpi mending ngambil jalan aja klo msib ga dpt magang tpi ga sempet timelinenya jdi pilih aja,https://x.com/7secwithu/status/1799394604040823118,7secwithu,NEGATIVE,0.9998089671134949
Sat Jun 08 10:53:49 +0000 2024,bener lagi.. daftar magang msib batch 7 yg penting apply aja dah kek udah pasrah,bener daftar magang msib batch 7 yg apply aja dah kek udah pasrah,https://x.com/shntarynt/status/1799394395537789227,shntarynt,NEGATIVE,0.9974445104598999
Sat Jun 08 10:45:08 +0000 2024,YA ALLAH SEMOGA AKU KETERIMA MAGANG MSIB YA ALLAH AAMIIN YA ALLAH,ya allah moga terima magang msib ya allah aamiin ya allah,https://x.com/lemmekn0ww/status/1799392207520321717,lemmekn0ww,NEUTRAL,0.9981254935264587
Sat Jun 08 10:44:51 +0000 2024,DOAIN GUA KETERIMA MAGANG MSIB DI JKT PLS!!!,doain gua terima magang msib jkt pls,https://x.com/lemmekn0ww/status/1799392138767258066,lemmekn0ww,NEUTRAL,0.9970920085906982
Sat Jun 08 10:37:14 +0000 2024,@dohoonemo Ohh aku magang biasa... Ga bgambil msib,dohoonemo ohh magang ga bgambil msib,https://x.com/7secwithu/status/1799390221097967963,7secwithu,NEGATIVE,0.998275637626648
Sat Jun 08 09:52:29 +0000 2024,doain ak lulus magang msib yaaa,doain ak lulus magang msib yaaa,https://x.com/wldnrhm/status/1799378958078931021,wldnrhm,NEUTRAL,0.7174642086029053
Sat Jun 08 09:00:00 +0000 2024,Toyota-Astra Motor membuka lowongan magang MSIB untuk periode 6 Agustus - 20 Desember 2024! Yuk simak syarat dan ketentuanya di https://t.co/TNGxBnxigZ serta daftarkan dirimu sekarang juga! #ToyotaAstraMotor #kampusmerdeka #MSIB #astrakampusmerdeka #msibbatch7 https://t.co/AxNYp59nXI,toyotaastra motor buka lowong magang msib periode 6 agustus 20 desember 2024 yuk simak syarat ketentuanya httpstcotngxbnxigz daftar diri toyotaastramotor kampusmerdeka msib astrakampusmerdeka msibbatch7 httpstcoaxnyp59nxi,https://x.com/ecccoid/status/1799365751805284534,ecccoid,NEUTRAL,0.9996215105056763
Fri Jun 07 07:34:50 +0000 2024,penemuan lucu hari ini adalah KIDZANIA buka lowongan magang MSIB,temu lucu kidzania buka lowong magang msib,https://x.com/kebjiran/status/1798981929284616463,kebjiran,NEUTRAL,0.9996997117996216
Fri Jun 07 07:27:52 +0000 2024,Pada MSIB Batch 7 kali ini PT Widya Inovasi Indonesia membuka program magang 28 posisi untuk 72 mahasiswa Indonesia. Melalui program ini PT Widya Inovasi Indonesia berkomitmen untuk memberikan pengalaman dan bimbingan secara langsung terkait dunia kerja nyata. #MSIB7 https://t.co/ctq5XYi2lq,msib batch 7 kali pt widya inovasi indonesia buka program magang 28 posisi 72 mahasiswa indonesia program pt widya inovasi indonesia komitmen alam bimbing langsung kait dunia kerja nyata msib7 httpstcoctq5xyi2lq,https://x.com/widyarobotics/status/1798980176560484599,widyarobotics,NEUTRAL,0.9980278611183167
Fri Jun 07 07:24:19 +0000 2024,smoga dpt magang msib aminnn,smoga dpt magang msib aminnn,https://x.com/you_r_destiny/status/1798979284100641172,you_r_destiny,NEUTRAL,0.999663233757019
Fri Jun 07 06:18:08 +0000 2024,[REMINDER - MSIB 7] Pendaftaran Magang &amp; Studi Independen Bersertifikat (MSIB) Batch 7 segera ditutup dalam 3 hari lagi. Segera daftarkan dirimu di Platform Kampus Merdeka https://t.co/8VuHcrW0ET Periode Pendaftaran: 26 April 2024 - 10 Juni 2024 https://t.co/Q1nGbX3mzY,reminder msib 7 daftar magang amp studi independen sertifikat msib batch 7 tutup 3 daftar diri platform kampus merdeka httpstco8vuhcrw0et periode daftar 26 april 2024 10 juni 2024 httpstcoq1ngbx3mzy,https://x.com/io_ums_official/status/1798962628259397937,io_ums_official,NEUTRAL,0.9996557235717773
Fri Jun 07 06:05:46 +0000 2024,@linchievz linaaa semoga bisa lolos msib yaahh lolos di company yg kamu mau dan pas magang semuanya lancar2 gaada masalah smangatt,linchievz linaaa moga lolos msib yaahh lolos company yg pas magang lancar2 gaada smangatt,https://x.com/theylovematcha/status/1798959515179901086,theylovematcha,NEUTRAL,0.9711668491363525
Fri Jun 07 05:54:58 +0000 2024,@utfess Orang kerja full time kok disuruh msib/magang terus kalo ga msib/magang ga lulus gitu? Ibu rumah tangga yg anaknya 2 gimana,utfess orang kerja full time suruh msibmagang kalo ga msibmagang ga lulus gitu rumah tangga yg anak 2 gimana,https://x.com/Descheduts_/status/1798956797019254784,Descheduts_,NEGATIVE,0.9992644190788269
Fri Jun 07 05:43:50 +0000 2024,serunya melihat adek2 yg dumba2 daftar magang msib cmunguttt,seru adek2 yg dumba2 daftar magang msib cmunguttt,https://x.com/nakedlying/status/1798953998340575623,nakedlying,NEUTRAL,0.8309935927391052
Fri Jun 07 05:17:59 +0000 2024,gw mimpi keterima magang msib,gw mimpi terima magang msib,https://x.com/bigelbelike/status/1798947493214056564,bigelbelike,NEUTRAL,0.9996026158332825
Fri Jun 07 05:11:41 +0000 2024,Permisi mau tanya no salty yaa di ut! Klo gk ikut msib / magang itu gak papa kan? Pengaruh ke kelulusan apa enggak? Juga klo misal ikut ke sems 8 berarti kita juga ngulang buat karil ya? Makasih,permisi no salty yaa ut klo gk msib magang gak papa pengaruh kelulus klo sems 8 ngulang karil ya makasih,https://x.com/utfess/status/1798945906252988910,utfess,NEUTRAL,0.9976212382316589
Fri Jun 07 04:53:27 +0000 2024,Tinggal aku lagi yang berusaha dan berdoa dapat diterima di MSIB atau magang luar negeri itu (Aaaamiinnnnn best prayer to the god for the better choice ),tinggal usaha doa terima msib magang negeri aaaamiinnnnn best prayer to the god for the better choice,https://x.com/pusing_penbobok/status/1798941316229034386,pusing_penbobok,NEUTRAL,0.9996973276138306
Fri Jun 07 04:28:30 +0000 2024,Orang gila mana yg smt akhir malah pengen magang lagi / ikut msib,orang gila yg smt ken magang msib,https://x.com/kaniaaynnda/status/1798935038568095746,kaniaaynnda,NEGATIVE,0.9997839331626892
Fri Jun 07 04:04:18 +0000 2024,Saksikan live Magang Campus Leaders Program Batch 9 bersama para TB Rangers dari penempatan YMMA Yamali TB dan BCF Pusat temukan semua jawaban kamu seputar proses seleksi MSIB hingga pengalaman mereka sebagai anak muda turut serta dalam eliminasi TBC di live ini. https://t.co/fiBYKKKXYQ,saksi live magang campus leaders program batch 9 tb rangers tempat ymma yamali tb bcf pusat temu putar proses seleksi msib alam anak muda eliminasi tbc live httpstcofibykkkxyq,https://x.com/BakrieCenter/status/1798928950665855021,BakrieCenter,NEUTRAL,0.9996102452278137
Fri Jun 07 03:12:23 +0000 2024,Hellow aku udah open ni nder yang butuh cv ats or kreativ buat lamar kerja magang organisasi msib boleh banget dungs free konsultasi jg buat yg bingung mendeskripsikan langsung aja chat mimin yah!! https://t.co/uveBtJhQeW hayuuu #jasa #zonauang #joki #jasacv,hellow udah open ni nder butuh cv ats or kreativ lamar kerja magang organisasi msib banget dungs free konsultasi jg yg bingung deskripsi langsung aja chat mimin yah httpstcouvebtjhqew hayuuu jasa zonauang joki jasacv,https://x.com/solusibuatcv/status/1798915881793433827,solusibuatcv,NEUTRAL,0.9565223455429077
Fri Jun 07 02:38:22 +0000 2024,Testi joki portofolio ppt untuk magang msib Haiii semuaa aku open jasa buat makalah portofolio cv ppt dan tugas lainnya yaaa!!! tugas2 tulis proposal dsb juga bisa yukk #jokitugasmurah #joki #jokitulis #jokimakalah #jokiproposal #jokippt #zonauang️ https://t.co/235sDEYidq,testi joki portofolio ppt magang msib haiii semuaa open jasa makalah portofolio cv ppt tugas yaaa tugas2 tulis proposal dsb yukk jokitugasmurah joki jokitulis jokimakalah jokiproposal jokippt zonauang httpstco235sdeyidq,https://x.com/jokibarengyuk/status/1798907323270021485,jokibarengyuk,NEGATIVE,0.9953653812408447
Fri Jun 07 01:05:06 +0000 2024,@calonisstrikamu @worksfess Merderka belajar kampus merdeka disitu ada magang kkn studi independen pertukaran luar negri banyak sihhh.. bisa cek aja di website Tapi kalau kamu mau ambil magang atau studi indeenden namanya MSIB ya MSIB itu bagian dari MBKM,calonisstrikamu worksfess merderka ajar kampus merdeka situ magang kkn studi independen tukar negri sihhh cek aja website ambil magang studi indeenden nama msib ya msib mbkm,https://x.com/iambaess/status/1798883852611387834,iambaess,NEUTRAL,0.9995936751365662
Fri Jun 07 00:31:27 +0000 2024,@DeallsJobs @worksfess kalo 10 jam tapi masih magang gmn ya min ,deallsjobs worksfess kalo 10 jam magang gmn ya min,https://x.com/catcatherain/status/1798875383049433150,catcatherain,NEUTRAL,0.9996355772018433
Thu Jun 06 10:12:49 +0000 2024,-upnsby kalau mau apply magang mandiri tapi nunggu pengumuman msib tuh masih bisa gak sih?,upnsby apply magang mandiri nunggu umum msib tuh gak sih,https://x.com/YUPIEN_FESS/status/1798659302313603347,YUPIEN_FESS,NEGATIVE,0.9790946841239929
Thu Jun 06 09:35:25 +0000 2024,Mahasiswa Amikom Meniti Karier Melalui Pengalaman Magang MSIB di Dyandra Promosindo #MSIB #Amikom #KampusMerdeka #MagangdanStudiIndependenBersertifikat https://t.co/kPWKiVA1it,mahasiswa amikom titi karier alam magang msib dyandra promosindo msib amikom kampusmerdeka magangdanstudiindependenbersertifikat httpstcokpwkiva1it,https://x.com/republikajogja/status/1798649887065776459,republikajogja,NEUTRAL,0.9995844960212708
Thu Jun 06 06:48:30 +0000 2024,Msib studi independen magang kampus merdeka kampus mengajar Kemdikbud stupen,msib studi independen magang kampus merdeka kampus ajar kemdikbud stupen,https://x.com/anaksgembala/status/1798607881853718546,anaksgembala,NEUTRAL,0.9996863603591919
Thu Jun 06 05:55:45 +0000 2024,‼️buat temen2 msib yang lagi daftar program magang kampus merdeka aku open nih buat 1. Review CV 2. Upgrade CV ats friendly 3. Diskusi CV All of this bakal sharing via meeting ya. (alumni msib dan full time di tech comp) WA y link di bio #zonauang #zonajajan #msib,buat temen2 msib daftar program magang kampus merdeka open nih 1 review cv 2 upgrade cv ats friendly 3 diskusi cv all of this sharing via meeting ya alumni msib full time tech comp wa y link bio zonauang zonajajan msib,https://x.com/mentoringcv/status/1798594608710250804,mentoringcv,NEUTRAL,0.9996992349624634
Thu Jun 06 03:24:46 +0000 2024,@binthesecond magang apa msib ta?,binthesecond magang msib ta,https://x.com/goeswferran/status/1798556613894385665,goeswferran,NEUTRAL,0.9995766282081604
Thu Jun 06 02:44:18 +0000 2024,gua blm isi lowongan magang buat msib msh mkir2 dh mau dmna..tp klo bsa si luar kota sksksk maless di jkt atau bekasi mlu...,gua blm isi lowong magang msib msh mkir2 dh dmnatp klo bsa si kota sksksk maless jkt bekas mlu,https://x.com/jeminuminay_/status/1798546428601745506,jeminuminay_,NEUTRAL,0.991107165813446
Thu Jun 06 02:06:35 +0000 2024,kalo aku anaknya bu nicke apakah aku bs magang di pertamina dg mudah tanpa pusing msib?:(,kalo anak bu nicke bs magang pertamina dg mudah pusing msib,https://x.com/diuanaz/status/1798536938116506092,diuanaz,NEGATIVE,0.9739529490470886
Wed Jun 05 18:37:12 +0000 2024,BOSAN DI BALI INGIN MAGANG DI SURABAYA PLS MSIB LOLOSKAN AKU ,bosan bal magang surabaya pls msib lolos,https://x.com/waasaabee/status/1798423845587886561,waasaabee,NEUTRAL,0.9925779700279236
Wed Jun 05 17:57:43 +0000 2024,Mana gede pulaa td siang mondar mandir dr sekre ke kemahasiswaan malem nya ada kelas untung zoom Lpj blm di acc² udh ada proker baruu aja cok :( Blm lg kemaren² nyiapin mo join magang msib akhirnya td mutusin buat g nerusin dan plan mo ngikut batch selanjutnya.,gede pulaa td siang mondar mandir dr sekre mahasiswa malem nya kelas untung zoom lpj blm acc udh proker baruu aja cok blm lg kemaren nyiapin mo join magang msib td mutusin g nerusin plan mo ngikut batch,https://x.com/justlivyyy/status/1798413910619681020,justlivyyy,NEGATIVE,0.996243953704834
Wed Jun 05 16:10:00 +0000 2024,riil dalam waktu kurang dari sebulan harus ngefinalin proker prepare kkn nyelesaiin project daftar msib bikin laporan magang ngelanjutin skripsi harus bolak balik jogja dan gimana caranya harus udah di jogja lagi sblm tgl 28 riil gweh dah gakuatt,riil bulan ngefinalin proker prepare kkn nyelesaiin project daftar msib bikin lapor magang ngelanjutin skripsi bolak jogja gimana udah jogja sblm tgl 28 riil gweh dah gakuatt,https://x.com/dellicatz/status/1798386802295976069,dellicatz,NEUTRAL,0.6437414884567261
Wed Jun 05 15:42:26 +0000 2024,@aroundurmine Banyak yang pakai jasaku untuk daftar msib dan magang mandiri kak Silahkan di aku https://t.co/xTUvu2mf5i,aroundurmine pakai jasa daftar msib magang mandiri kak silah httpstcoxtuvu2mf5i,https://x.com/gaksukacoklattt/status/1798379862929097055,gaksukacoklattt,NEUTRAL,0.9997045397758484
Wed Jun 05 15:42:09 +0000 2024,cuk adek gw udh punya PACAR meanwhile kakaknya lg stress kuliah laporan magang kkn msib dan masih single meski ready to mingle. DEVASTATED. https://t.co/4Wi45Nx9wt,cuk adek gw udh pacar meanwhile kakak lg stress kuliah lapor magang kkn msib single ready to mingle devastated httpstco4wi45nx9wt,https://x.com/tearsafterain/status/1798379793102377359,tearsafterain,NEUTRAL,0.9996285438537598
Wed Jun 05 15:41:22 +0000 2024,@1matchau Banyak yang pakai jasaku untuk daftar msib dan magang mandiri Silahkan di aku https://t.co/xTUvu2mf5i,1matchau pakai jasa daftar msib magang mandiri silah httpstcoxtuvu2mf5i,https://x.com/gaksukacoklattt/status/1798379595194098036,gaksukacoklattt,NEUTRAL,0.9997046589851379
Wed Jun 05 15:39:47 +0000 2024,@butterfliesfail Banyak yang pakai jasaku untuk daftar msib dan magang mandiri kak Silahkan di aku https://t.co/xTUvu2mf5i,butterfliesfail pakai jasa daftar msib magang mandiri kak silah httpstcoxtuvu2mf5i,https://x.com/gaksukacoklattt/status/1798379198811423225,gaksukacoklattt,NEUTRAL,0.9996956586837769
